,0,EVAL MID YIELD,COMPOSITE LIQUIDITY SCORE (T-1),COUPON FREQUENCY,NEXT COUPON RATE,REMAINING_TENURE_INT,ASSET-BACKED SECURITIES,CONSTRUCTION AND ENGINEERING,DIVERSIFIED HOLDINGS,FINANCIAL SERVICES,INDUSTRIAL PRODUCTS,INFRASTRUCTURES AND UTILITIES,MINING & PETROLEUM,PLANTATION AND AGRICULTURE,PROPERTY AND REAL ESTATE,PUBLIC FINANCE,TRADING & SERVICES
217,16,4.056,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
218,16,3.523,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
219,16,3.446,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
220,16,3.48,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
221,16,3.187,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
222,16,3.112,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
223,16,3.131,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
224,16,3.073,0.0,2,5.73,84,0,1,0,0,0,0,0,0,0,0,0
225,17,3.831,0.0,2,6.05,24,0,0,0,0,0,0,0,0,0,0,1
226,17,3.702,0.0,2,6.05,24,0,0,0,0,0,0,0,0,0,0,1
227,17,3.646,0.0,2,6.05,24,0,0,0,0,0,0,0,0,0,0,1
228,17,3.654,0.0,2,6.05,24,0,0,0,0,0,0,0,0,0,0,1
229,17,3.588,0.0,2,6.05,12,0,0,0,0,0,0,0,0,0,0,1
230,17,3.502,0.0,2,6.05,12,0,0,0,0,0,0,0,0,0,0,1
231,17,3.286,0.0,2,6.05,12,0,0,0,0,0,0,0,0,0,0,1
232,17,3.363,0.0,2,6.05,12,0,0,0,0,0,0,0,0,0,0,1
233,17,3.185,0.0,2,6.05,12,0,0,0,0,0,0,0,0,0,0,1
234,17,2.897,0.0,2,6.05,12,0,0,0,0,0,0,0,0,0,0,1
235,17,2.901,0.0,2,6.05,6,0,0,0,0,0,0,0,0,0,0,1
236,17,2.624,0.0,2,6.05,6,0,0,0,0,0,0,0,0,0,0,1
237,17,2.541,0.0,2,6.05,6,0,0,0,0,0,0,0,0,0,0,1
238,17,2.565,0.0,2,6.05,3,0,0,0,0,0,0,0,0,0,0,1
239,17,2.402,0.0,2,6.05,3,0,0,0,0,0,0,0,0,0,0,1
240,18,4.138,0.0,2,5.82,120,0,1,0,0,0,0,0,0,0,0,0
241,18,3.91,0.0,2,5.82,120,0,1,0,0,0,0,0,0,0,0,0
242,18,3.99,0.0,2,5.82,120,0,1,0,0,0,0,0,0,0,0,0
243,18,4.013,0.0,2,5.82,120,0,1,0,0,0,0,0,0,0,0,0
244,18,3.987,0.0,2,5.82,120,0,1,0,0,0,0,0,0,0,0,0
245,18,3.741,0.0,2,5.82,120,0,1,0,0,0,0,0,0,0,0,0
246,18,3.504,0.0,2,5.82,120,0,1,0,0,0,0,0,0,0,0,0
247,18,4.161,0.0,2,5.82,120,0,1,0,0,0,0,0,0,0,0,0
248,18,3.596,0.0,2,5.82,120,0,1,0,0,0,0,0,0,0,0,0
249,18,3.52,0.0,2,5.82,84,0,1,0,0,0,0,0,0,0,0,0
250,18,3.555,0.0,2,5.82,84,0,1,0,0,0,0,0,0,0,0,0
251,18,3.274,2.3,2,5.82,84,0,1,0,0,0,0,0,0,0,0,0
252,18,3.2,3.3,2,5.82,84,0,1,0,0,0,0,0,0,0,0,0
253,18,3.206,3.0,2,5.82,84,0,1,0,0,0,0,0,0,0,0,0
254,18,3.15,3.0,2,5.82,84,0,1,0,0,0,0,0,0,0,0,0
255,19,4.161,0.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
256,19,3.938,0.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
257,19,4.019,0.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
258,19,4.043,0.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
259,19,4.02,0.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
260,19,3.768,0.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
261,19,3.529,0.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
262,19,4.209,0.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
263,19,3.639,0.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
264,19,3.563,0.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
265,19,3.598,0.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
266,19,3.323,0.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
267,19,3.245,3.3,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
268,19,3.248,3.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
269,19,3.19,3.0,2,5.87,120,0,1,0,0,0,0,0,0,0,0,0
270,20,3.761,0.0,2,6.3,6,0,0,0,0,0,1,0,0,0,0,0
271,20,3.642,0.0,2,6.3,3,0,0,0,0,0,1,0,0,0,0,0
272,20,3.6,0.0,2,6.3,3,0,0,0,0,0,1,0,0,0,0,0
273,20,3.564,0.0,2,6.3,3,0,0,0,0,0,1,0,0,0,0,0
274,21,3.95,0.0,2,6.15,36,0,0,0,0,0,0,0,0,0,0,1
275,21,3.777,0.0,2,6.15,36,0,0,0,0,0,0,0,0,0,0,1
276,21,3.763,0.0,2,6.15,36,0,0,0,0,0,0,0,0,0,0,1
277,21,3.753,0.0,2,6.15,36,0,0,0,0,0,0,0,0,0,0,1
278,21,3.709,0.0,2,6.15,36,0,0,0,0,0,0,0,0,0,0,1
